Model,Bore (mm),Rod (mm),Stroke Min (mm),Stroke Max (mm),Mounting,Cushion Energy Rubber Bumper (J),Cushion Energy Air Cushion (J)
CM2B20-basic,20,8,25,400,fixed-free,0.27,0.54
CM2B20-foot,20,8,25,400,fixed-supported,0.27,0.54
CM2B20-flange,20,8,25,400,fixed-fixed,0.27,0.54
CM2B20-clevis,20,8,25,400,supported-supported,0.27,0.54
CM2B25-basic,25,10,25,450,fixed-free,0.4,0.78
CM2B25-foot,25,10,25,450,fixed-supported,0.4,0.78
CM2B25-flange,25,10,25,450,fixed-fixed,0.4,0.78
CM2B25-clevis,25,10,25,450,supported-supported,0.4,0.78
CM2B32-basic,32,12,25,450,fixed-free,0.65,1.27
CM2B32-foot,32,12,25,450,fixed-supported,0.65,1.27
CM2B32-flange,32,12,25,450,fixed-fixed,0.65,1.27
CM2B32-clevis,32,12,25,450,supported-supported,0.65,1.27
CM2B40-basic,40,14,25,500,fixed-free,1.2,2.35
CM2B40-foot,40,14,25,500,fixed-supported,1.2,2.35
CM2B40-flange,40,14,25,500,fixed-fixed,1.2,2.35
CM2B40-clevis,40,14,25,500,supported-supported,1.2,2.35
CA2B40-basic,40,16,25,500,fixed-free,,2.8
CA2B40-foot,40,16,25,500,fixed-supported,,2.8
CA2B40-flange,40,16,25,500,fixed-fixed,,2.8
CA2B40-clevis,40,16,25,500,supported-supported,,2.8
CA2B50-basic,50,20,25,600,fixed-free,,4.6
CA2B50-foot,50,20,25,600,fixed-supported,,4.6
CA2B50-flange,50,20,25,600,fixed-fixed,,4.6
CA2B50-clevis,50,20,25,600,supported-supported,,4.6
CA2B63-basic,63,20,25,600,fixed-free,,7.8
CA2B63-foot,63,20,25,600,fixed-supported,,7.8
CA2B63-flange,63,20,25,600,fixed-fixed,,7.8
CA2B63-clevis,63,20,25,600,supported-supported,,7.8
CA2B80-basic,80,25,25,700,fixed-free,,16
CA2B80-foot,80,25,25,700,fixed-supported,,16
CA2B80-flange,80,25,25,700,fixed-fixed,,16
CA2B80-clevis,80,25,25,700,supported-supported,,16
CA2B100-basic,100,30,25,700,fixed-free,,29
CA2B100-foot,100,30,25,700,fixed-supported,,29
CA2B100-flange,100,30,25,700,fixed-fixed,,29
CA2B100-clevis,100,30,25,700,supported-supported,,29
