Model,Bore (mm),Rod (mm),Bearing Type,Standard Stroke (mm)
MGPM12-10Z,12,6,slide,10
MGPM12-20Z,12,6,slide,20
MGPM12-30Z,12,6,slide,30
MGPM12-40Z,12,6,slide,40
MGPM12-50Z,12,6,slide,50
MGPM12-75Z,12,6,slide,75
MGPM12-100Z,12,6,slide,100
MGPM12-125Z,12,6,slide,125
MGPM12-150Z,12,6,slide,150
MGPM12-175Z,12,6,slide,175
MGPM12-200Z,12,6,slide,200
MGPM12-250Z,12,6,slide,250
MGPL12-10Z,12,6,ball_bushing,10
MGPL12-20Z,12,6,ball_bushing,20
MGPL12-30Z,12,6,ball_bushing,30
MGPL12-40Z,12,6,ball_bushing,40
MGPL12-50Z,12,6,ball_bushing,50
MGPL12-75Z,12,6,ball_bushing,75
MGPL12-100Z,12,6,ball_bushing,100
MGPL12-125Z,12,6,ball_bushing,125
MGPL12-150Z,12,6,ball_bushing,150
MGPL12-175Z,12,6,ball_bushing,175
MGPL12-200Z,12,6,ball_bushing,200
MGPL12-250Z,12,6,ball_bushing,250
MGPA12-10Z,12,6,high_precision_ball_bushing,10
MGPA12-20Z,12,6,high_precision_ball_bushing,20
MGPA12-30Z,12,6,high_precision_ball_bushing,30
MGPA12-40Z,12,6,high_precision_ball_bushing,40
MGPA12-50Z,12,6,high_precision_ball_bushing,50
MGPA12-75Z,12,6,high_precision_ball_bushing,75
MGPA12-100Z,12,6,high_precision_ball_bushing,100
MGPA12-125Z,12,6,high_precision_ball_bushing,125
MGPA12-150Z,12,6,high_precision_ball_bushing,150
MGPA12-175Z,12,6,high_precision_ball_bushing,175
MGPA12-200Z,12,6,high_precision_ball_bushing,200
MGPA12-250Z,12,6,high_precision_ball_bushing,250
MGPM16-10Z,16,8,slide,10
MGPM16-20Z,16,8,slide,20
MGPM16-30Z,16,8,slide,30
MGPM16-40Z,16,8,slide,40
MGPM16-50Z,16,8,slide,50
MGPM16-75Z,16,8,slide,75
MGPM16-100Z,16,8,slide,100
MGPM16-125Z,16,8,slide,125
MGPM16-150Z,16,8,slide,150
MGPM16-175Z,16,8,slide,175
MGPM16-200Z,16,8,slide,200
MGPM16-250Z,16,8,slide,250
MGPL16-10Z,16,8,ball_bushing,10
MGPL16-20Z,16,8,ball_bushing,20
MGPL16-30Z,16,8,ball_bushing,30
MGPL16-40Z,16,8,ball_bushing,40
MGPL16-50Z,16,8,ball_bushing,50
MGPL16-75Z,16,8,ball_bushing,75
MGPL16-100Z,16,8,ball_bushing,100
MGPL16-125Z,16,8,ball_bushing,125
MGPL16-150Z,16,8,ball_bushing,150
MGPL16-175Z,16,8,ball_bushing,175
MGPL16-200Z,16,8,ball_bushing,200
MGPL16-250Z,16,8,ball_bushing,250
MGPA16-10Z,16,8,high_precision_ball_bushing,10
MGPA16-20Z,16,8,high_precision_ball_bushing,20
MGPA16-30Z,16,8,high_precision_ball_bushing,30
MGPA16-40Z,16,8,high_precision_ball_bushing,40
MGPA16-50Z,16,8,high_precision_ball_bushing,50
MGPA16-75Z,16,8,high_precision_ball_bushing,75
MGPA16-100Z,16,8,high_precision_ball_bushing,100
MGPA16-125Z,16,8,high_precision_ball_bushing,125
MGPA16-150Z,16,8,high_precision_ball_bushing,150
MGPA16-175Z,16,8,high_precision_ball_bushing,175
MGPA16-200Z,16,8,high_precision_ball_bushing,200
MGPA16-250Z,16,8,high_precision_ball_bushing,250
MGPM20-20Z,20,10,slide,20
MGPM20-30Z,20,10,slide,30
MGPM20-40Z,20,10,slide,40
MGPM20-50Z,20,10,slide,50
MGPM20-75Z,20,10,slide,75
MGPM20-100Z,20,10,slide,100
MGPM20-125Z,20,10,slide,125
MGPM20-150Z,20,10,slide,150
MGPM20-175Z,20,10,slide,175
MGPM20-200Z,20,10,slide,200
MGPM20-250Z,20,10,slide,250
MGPM20-300Z,20,10,slide,300
MGPM20-350Z,20,10,slide,350
MGPM20-400Z,20,10,slide,400
MGPL20-20Z,20,10,ball_bushing,20
MGPL20-30Z,20,10,ball_bushing,30
MGPL20-40Z,20,10,ball_bushing,40
MGPL20-50Z,20,10,ball_bushing,50
MGPL20-75Z,20,10,ball_bushing,75
MGPL20-100Z,20,10,ball_bushing,100
MGPL20-125Z,20,10,ball_bushing,125
MGPL20-150Z,20,10,ball_bushing,150
MGPL20-175Z,20,10,ball_bushing,175
MGPL20-200Z,20,10,ball_bushing,200
MGPL20-250Z,20,10,ball_bushing,250
MGPL20-300Z,20,10,ball_bushing,300
MGPL20-350Z,20,10,ball_bushing,350
MGPL20-400Z,20,10,ball_bushing,400
MGPA20-20Z,20,10,high_precision_ball_bushing,20
MGPA20-30Z,20,10,high_precision_ball_bushing,30
MGPA20-40Z,20,10,high_precision_ball_bushing,40
MGPA20-50Z,20,10,high_precision_ball_bushing,50
MGPA20-75Z,20,10,high_precision_ball_bushing,75
MGPA20-100Z,20,10,high_precision_ball_bushing,100
MGPA20-125Z,20,10,high_precision_ball_bushing,125
MGPA20-150Z,20,10,high_precision_ball_bushing,150
MGPA20-175Z,20,10,high_precision_ball_bushing,175
MGPA20-200Z,20,10,high_precision_ball_bushing,200
MGPA20-250Z,20,10,high_precision_ball_bushing,250
MGPA20-300Z,20,10,high_precision_ball_bushing,300
MGPA20-350Z,20,10,high_precision_ball_bushing,350
MGPA20-400Z,20,10,high_precision_ball_bushing,400
MGPM25-20Z,25,10,slide,20
MGPM25-30Z,25,10,slide,30
MGPM25-40Z,25,10,slide,40
MGPM25-50Z,25,10,slide,50
MGPM25-75Z,25,10,slide,75
MGPM25-100Z,25,10,slide,100
MGPM25-125Z,25,10,slide,125
MGPM25-150Z,25,10,slide,150
MGPM25-175Z,25,10,slide,175
MGPM25-200Z,25,10,slide,200
MGPM25-250Z,25,10,slide,250
MGPM25-300Z,25,10,slide,300
MGPM25-350Z,25,10,slide,350
MGPM25-400Z,25,10,slide,400
MGPL25-20Z,25,10,ball_bushing,20
MGPL25-30Z,25,10,ball_bushing,30
MGPL25-40Z,25,10,ball_bushing,40
MGPL25-50Z,25,10,ball_bushing,50
MGPL25-75Z,25,10,ball_bushing,75
MGPL25-100Z,25,10,ball_bushing,100
MGPL25-125Z,25,10,ball_bushing,125
MGPL25-150Z,25,10,ball_bushing,150
MGPL25-175Z,25,10,ball_bushing,175
MGPL25-200Z,25,10,ball_bushing,200
MGPL25-250Z,25,10,ball_bushing,250
MGPL25-300Z,25,10,ball_bushing,300
MGPL25-350Z,25,10,ball_bushing,350
MGPL25-400Z,25,10,ball_bushing,400
MGPA25-20Z,25,10,high_precision_ball_bushing,20
MGPA25-30Z,25,10,high_precision_ball_bushing,30
MGPA25-40Z,25,10,high_precision_ball_bushing,40
MGPA25-50Z,25,10,high_precision_ball_bushing,50
MGPA25-75Z,25,10,high_precision_ball_bushing,75
MGPA25-100Z,25,10,high_precision_ball_bushing,100
MGPA25-125Z,25,10,high_precision_ball_bushing,125
MGPA25-150Z,25,10,high_precision_ball_bushing,150
MGPA25-175Z,25,10,high_precision_ball_bushing,175
MGPA25-200Z,25,10,high_precision_ball_bushing,200
MGPA25-250Z,25,10,high_precision_ball_bushing,250
MGPA25-300Z,25,10,high_precision_ball_bushing,300
MGPA25-350Z,25,10,high_precision_ball_bushing,350
MGPA25-400Z,25,10,high_precision_ball_bushing,400
MGPM32-25Z,32,14,slide,25
MGPM32-50Z,32,14,slide,50
MGPM32-75Z,32,14,slide,75
MGPM32-100Z,32,14,slide,100
MGPM32-125Z,32,14,slide,125
MGPM32-150Z,32,14,slide,150
MGPM32-175Z,32,14,slide,175
MGPM32-200Z,32,14,slide,200
MGPM32-250Z,32,14,slide,250
MGPM32-300Z,32,14,slide,300
MGPM32-350Z,32,14,slide,350
MGPM32-400Z,32,14,slide,400
MGPL32-25Z,32,14,ball_bushing,25
MGPL32-50Z,32,14,ball_bushing,50
MGPL32-75Z,32,14,ball_bushing,75
MGPL32-100Z,32,14,ball_bushing,100
MGPL32-125Z,32,14,ball_bushing,125
MGPL32-150Z,32,14,ball_bushing,150
MGPL32-175Z,32,14,ball_bushing,175
MGPL32-200Z,32,14,ball_bushing,200
MGPL32-250Z,32,14,ball_bushing,250
MGPL32-300Z,32,14,ball_bushing,300
MGPL32-350Z,32,14,ball_bushing,350
MGPL32-400Z,32,14,ball_bushing,400
MGPA32-25Z,32,14,high_precision_ball_bushing,25
MGPA32-50Z,32,14,high_precision_ball_bushing,50
MGPA32-75Z,32,14,high_precision_ball_bushing,75
MGPA32-100Z,32,14,high_precision_ball_bushing,100
MGPA32-125Z,32,14,high_precision_ball_bushing,125
MGPA32-150Z,32,14,high_precision_ball_bushing,150
MGPA32-175Z,32,14,high_precision_ball_bushing,175
MGPA32-200Z,32,14,high_precision_ball_bushing,200
MGPA32-250Z,32,14,high_precision_ball_bushing,250
MGPA32-300Z,32,14,high_precision_ball_bushing,300
MGPA32-350Z,32,14,high_precision_ball_bushing,350
MGPA32-400Z,32,14,high_precision_ball_bushing,400
MGPM40-25Z,40,14,slide,25
MGPM40-50Z,40,14,slide,50
MGPM40-75Z,40,14,slide,75
MGPM40-100Z,40,14,slide,100
MGPM40-125Z,40,14,slide,125
MGPM40-150Z,40,14,slide,150
MGPM40-175Z,40,14,slide,175
MGPM40-200Z,40,14,slide,200
MGPM40-250Z,40,14,slide,250
MGPM40-300Z,40,14,slide,300
MGPM40-350Z,40,14,slide,350
MGPM40-400Z,40,14,slide,400
MGPL40-25Z,40,14,ball_bushing,25
MGPL40-50Z,40,14,ball_bushing,50
MGPL40-75Z,40,14,ball_bushing,75
MGPL40-100Z,40,14,ball_bushing,100
MGPL40-125Z,40,14,ball_bushing,125
MGPL40-150Z,40,14,ball_bushing,150
MGPL40-175Z,40,14,ball_bushing,175
MGPL40-200Z,40,14,ball_bushing,200
MGPL40-250Z,40,14,ball_bushing,250
MGPL40-300Z,40,14,ball_bushing,300
MGPL40-350Z,40,14,ball_bushing,350
MGPL40-400Z,40,14,ball_bushing,400
MGPA40-25Z,40,14,high_precision_ball_bushing,25
MGPA40-50Z,40,14,high_precision_ball_bushing,50
MGPA40-75Z,40,14,high_precision_ball_bushing,75
MGPA40-100Z,40,14,high_precision_ball_bushing,100
MGPA40-125Z,40,14,high_precision_ball_bushing,125
MGPA40-150Z,40,14,high_precision_ball_bushing,150
MGPA40-175Z,40,14,high_precision_ball_bushing,175
MGPA40-200Z,40,14,high_precision_ball_bushing,200
MGPA40-250Z,40,14,high_precision_ball_bushing,250
MGPA40-300Z,40,14,high_precision_ball_bushing,300
MGPA40-350Z,40,14,high_precision_ball_bushing,350
MGPA40-400Z,40,14,high_precision_ball_bushing,400
MGPM50-25Z,50,18,slide,25
MGPM50-50Z,50,18,slide,50
MGPM50-75Z,50,18,slide,75
MGPM50-100Z,50,18,slide,100
MGPM50-125Z,50,18,slide,125
MGPM50-150Z,50,18,slide,150
MGPM50-175Z,50,18,slide,175
MGPM50-200Z,50,18,slide,200
MGPM50-250Z,50,18,slide,250
MGPM50-300Z,50,18,slide,300
MGPM50-350Z,50,18,slide,350
MGPM50-400Z,50,18,slide,400
MGPL50-25Z,50,18,ball_bushing,25
MGPL50-50Z,50,18,ball_bushing,50
MGPL50-75Z,50,18,ball_bushing,75
MGPL50-100Z,50,18,ball_bushing,100
MGPL50-125Z,50,18,ball_bushing,125
MGPL50-150Z,50,18,ball_bushing,150
MGPL50-175Z,50,18,ball_bushing,175
MGPL50-200Z,50,18,ball_bushing,200
MGPL50-250Z,50,18,ball_bushing,250
MGPL50-300Z,50,18,ball_bushing,300
MGPL50-350Z,50,18,ball_bushing,350
MGPL50-400Z,50,18,ball_bushing,400
MGPA50-25Z,50,18,high_precision_ball_bushing,25
MGPA50-50Z,50,18,high_precision_ball_bushing,50
MGPA50-75Z,50,18,high_precision_ball_bushing,75
MGPA50-100Z,50,18,high_precision_ball_bushing,100
MGPA50-125Z,50,18,high_precision_ball_bushing,125
MGPA50-150Z,50,18,high_precision_ball_bushing,150
MGPA50-175Z,50,18,high_precision_ball_bushing,175
MGPA50-200Z,50,18,high_precision_ball_bushing,200
MGPA50-250Z,50,18,high_precision_ball_bushing,250
MGPA50-300Z,50,18,high_precision_ball_bushing,300
