Model,Series,Bore (mm),Rod (mm),Bearing Type,Stroke Min (mm),Stroke Max (mm),Rating Stroke (mm),Allowable Lateral Load (N),Allowable Torque (N*m)
MGQM12,MGQ,12,6,slide,10,100,10,21,0.29
MGQL12,MGQ,12,6,ball_bushing,10,100,10,27,0.48
MGQM16,MGQ,16,8,slide,10,100,10,34,0.51
MGQL16,MGQ,16,8,ball_bushing,10,100,10,38,0.73
MGQM20,MGQ,20,10,slide,20,200,20,51,0.91
MGQL20,MGQ,20,10,ball_bushing,20,200,20,55,1.26
MGQM25,MGQ,25,12,slide,20,200,20,70,1.53
MGQL25,MGQ,25,12,ball_bushing,20,200,20,71,1.96
MGQM32,MGQ,32,16,slide,25,125,25,196,3.92
MGQL32,MGQ,32,16,ball_bushing,25,125,25,88,1.96
MGQM40,MGQ,40,16,slide,25,125,50,167,3.43
MGQL40,MGQ,40,16,ball_bushing,25,125,50,59,1.47
MGQM50,MGQ,50,20,slide,40,200,50,255,5.88
MGQL50,MGQ,50,20,ball_bushing,40,200,50,88,2.20
MGQM63,MGQ,63,20,slide,40,200,50,255,6.37
MGQL63,MGQ,63,20,ball_bushing,40,200,50,88,2.45
MGQM80,MGQ,80,25,slide,25,125,25,353,11.76
MGQL80,MGQ,80,25,ball_bushing,25,125,25,235,9.31
MGQM100,MGQ,100,30,slide,25,125,25,539,22.54
MGQL100,MGQ,100,30,ball_bushing,25,125,25,470,21.56
MGPM12,MGP,12,6,slide,10,250,10,,0.39
MGPL12,MGP,12,6,ball_bushing,10,250,10,,0.61
MGPM16,MGP,16,8,slide,10,250,10,,0.69
MGPL16,MGP,16,8,ball_bushing,10,250,10,,0.99
MGPM20,MGP,20,10,slide,20,400,20,,1.05
MGPL20,MGP,20,10,ball_bushing,20,400,20,,1.26
MGPM25,MGP,25,10,slide,20,400,20,,1.76
MGPL25,MGP,25,10,ball_bushing,20,400,20,,2.11
MGPM32,MGP,32,14,slide,25,400,25,,6.35
MGPL32,MGP,32,14,ball_bushing,25,400,25,,5.95
MGPM40,MGP,40,14,slide,25,400,25,,7.00
MGPL40,MGP,40,14,ball_bushing,25,400,25,,6.55
MGPM50,MGP,50,18,slide,25,400,50,,10.8
MGPL50,MGP,50,18,ball_bushing,25,400,50,,7.62
MGPM63,MGP,63,18,slide,25,400,50,,12.1
MGPL63,MGP,63,18,ball_bushing,25,400,50,,8.48
MGPM80,MGP,80,22,slide,25,400,50,,18.6
MGPL80,MGP,80,22,ball_bushing,25,400,50,,23.3
MGPM100,MGP,100,26,slide,25,400,50,,33.5
MGPL100,MGP,100,26,ball_bushing,25,400,50,,30.6
